province;pop;gdp;illiteracy;poverty;deficient_infra;school_dropout;no_healthcare;birth_mortal;doctors_per_cap
Buenos Aires;15625084;292689868;1.38;8.17;5.51;0.77;48.79;4.40;0.01
Catamarca;367828;6150949;2.34;9.23;10.46;0.95;45.05;1.50;0.01
Cordoba;3308876;69363739;2.71;5.38;10.44;1.04;45.76;4.80;0.01
Corrientes;992595;7968013;5.60;12.75;17.44;3.86;62.11;5.90;0.00
Chaco;1055259;9832643;7.52;15.86;31.48;2.58;65.51;7.50;0.00
Chubut;509108;17747854;1.55;8.05;8.04;0.59;39.55;3.00;0.00
Entre Rios;1235994;20743409;3.19;7.29;18.79;1.89;48.66;3.10;0.01
Formosa;530162;3807057;4.61;17.04;28.00;2.27;65.81;16.20;0.00
Jujuy;673307;6484938;2.15;13.37;12.48;0.72;54.16;3.70;0.00
La Pampa;318951;6990262;1.54;3.40;16.51;0.20;45.48;7.20;0.01
La Rioja;333642;5590516;2.77;10.88;7.40;3.84;40.83;11.40;0.01
Mendoza;1738929;33431369;2.20;5.69;3.84;1.06;50.58;4.40;0.01
Misiones;1101593;9646826;6.86;13.53;8.33;3.13;57.83;8.10;0.00
Neuquen;551266;22564106;1.94;9.46;11.27;1.39;48.74;3.30;0.01
Rio Negro;638645;10264584;2.03;8.68;14.89;0.41;49.95;0.80;0.01
Salta;1214441;13438835;3.35;16.87;14.18;1.48;60.42;5.80;0.00
San Juan;681055;8262309;2.96;9.05;3.91;3.30;52.97;4.20;0.01
San Luis;432310;11780849;3.43;6.59;9.68;2.00;51.62;3.80;0.01
Santa Cruz;273964;11663738;0.79;8.02;7.41;0.29;29.23;3.30;0.00
Santa Fe;3194537;81588690;1.98;6.08;11.87;2.87;41.97;2.60;0.01
Santiago del Estero;874006;8387859;6.27;11.76;20.49;2.33;63.66;1.70;0.00
Tucuman;1448188;13856199;3.77;11.21;6.47;0.98;48.22;3.00;0.01
