id;condition;car_year;brand;model;engine;doors;km;fuel_type;traction_control;transmission;currency;price;seller_id;seller_nickname;is_car_shop;seller_country;seller_state;seller_city
MLA1402427489;Usado;1999;Peugeot;206;1.6;3;220000;Nafta;Delantera;Manual;ARS;1950000;298769217;POMA7264195;FALSO;Argentina;Bs.As. G.B.A. Sur;Esteban Echeverría
MLA1636491444;Usado;2000;Peugeot;206;1.6;5;154482;Nafta;Delantera;Manual;USD;4100;51625895;NEL_DIV2;FALSO;Argentina;Bs.As. G.B.A. Norte;Los Cardales
MLA1610527796;Usado;2000;Peugeot;206;1.9;3;111111;Diesel;Delantera;Manual;ARS;2500000;212006392;ATY AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín
MLA1652271406;Usado;2000;Peugeot;206;1.6;3;225000;Nafta;Delantera;Manual;ARS;3100000;305257609;NICOLASFAVIA;FALSO;Argentina;Río Negro;Viedma
MLA1400364749;Usado;2001;Peugeot;206;2;3;188000;Nafta;Delantera;Manual;USD;7399;31552570;CARSCLUBANFIELD;FALSO;Argentina;Bs.As. G.B.A. Sur;Lomas de Zamora
MLA1398250521;Usado;2001;Peugeot;206;1.9;3;180000;Diesel;Delantera;Manual;USD;3500;1384185692;MOBILITYARGENTINA;FALSO;Argentina;Bs.As. G.B.A. Norte;Pilar
MLA1404731357;Usado;2001;Peugeot;206;1.6;2;103000;Nafta;Delantera;Manual;USD;7950;95954391;GUSTAVVOHUGOP;FALSO;Argentina;Buenos Aires Interior;Berisso
MLA1391789851;Usado;2001;Peugeot;206;2;2;167000;Nafta;Delantera;Manual;USD;7900;1252478998;RERE1475820;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro
MLA1631847124;Usado;2001;Peugeot;206;1.6;5;115000;Nafta;Delantera;Manual;ARS;4950000;60742483;M&M AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín
MLA1656890916;Usado;2001;Peugeot;206;1.6;5;150000;Nafta;Delantera;Manual;ARS;1800000;187724632;AMERICAN-CARS -AVELLANEDA;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda
MLA1403484849;Usado;2001;Peugeot;206;2;3;165000;Nafta;Delantera;Manual;USD;14900;54877621;MAUROBOCCARDO;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín
MLA1402738851;Usado;2001;Peugeot;206;1.6;3;208000;Nafta;Delantera;Manual;USD;3500;186121438;NICOLETOO1000;FALSO;Argentina;Bs.As. G.B.A. Oeste;Caseros
MLA1652493210;Usado;2001;Peugeot;206;1.4;5;200000;Nafta;Delantera;Manual;ARS;1900000;292274452;CAAN8008556;FALSO;Argentina;Chaco;San Lorenzo
MLA1626345784;Usado;2002;Peugeot;206;2;2;84000;Nafta;Delantera;Manual;USD;15000;123083259;RICKYHEGRAS;FALSO;Argentina;Capital Federal;Capital Federal
MLA1629390974;Usado;2002;Peugeot;206;2;2;130000;Nafta;Delantera;Manual;USD;9500;506738570;FACEBOOK-ANDY-CLEAR;FALSO;Argentina;Bs.As. G.B.A. Sur;Lanús
MLA1406611649;Usado;2002;Peugeot;206;1.6;3;164000;Nafta;Delantera;Manual;ARS;2500000;111270249;LUIS1842;FALSO;Argentina;Bs.As. G.B.A. Sur;Ezeiza
MLA1401646399;Usado;2002;Peugeot;206;2;3;185000;Nafta;Delantera;Manual;ARS;7000000;253335613;CAEZ9240416;FALSO;Argentina;Bs.As. G.B.A. Sur;Lomas de Zamora
MLA1403386489;Usado;2002;Peugeot;206;1.9;3;110000;Diesel;Delantera;Manual;USD;3700;149156983;PRIORSEBASTIAN;FALSO;Argentina;Bs.As. G.B.A. Oeste;Caseros
MLA1402330581;Usado;2003;Peugeot;206;1.6;3;189300;Nafta;Delantera;Manual;ARS;5490000;19437844;ROBER18E;FALSO;Argentina;Bs.As. G.B.A. Sur;Lanús
MLA1405769553;Usado;2003;Peugeot;206;1.6;2;120000;Nafta;Delantera;Manual;USD;15000;674285581;ZALATTI ANTIGUEDADES;FALSO;Argentina;Capital Federal;Capital Federal
MLA1401394409;Usado;2003;Peugeot;206;2;2;130000;Nafta;Delantera;Manual;USD;9900;40223916;GABRIEL16S;FALSO;Argentina;Capital Federal;Capital Federal
MLA1629450340;Usado;2003;Peugeot;206;1.6;3;136578;Nafta;Delantera;Manual;USD;4400;29687681;ABRILMOTORS;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro
MLA1406629263;Usado;2003;Peugeot;206;1.9;3;173000;Diesel;Delantera;Manual;USD;4000;190498911;EMANUELDAVIDCISTERNAS;FALSO;Argentina;Bs.As. G.B.A. Sur;Almirante Brown
MLA1405533781;Usado;2003;Peugeot;206;1.6;5;210000;Nafta;Delantera;Manual;ARS;3950000;343652148;ALFREDOJHPIGNATARO;FALSO;Argentina;Capital Federal;Capital Federal
MLA1591147812;Usado;2003;Peugeot;206;1.9;3;111111;Diesel;Delantera;Manual;ARS;3400000;212006392;ATY AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín
MLA1631856680;Usado;2003;Peugeot;206;2;3;141700;Nafta;Delantera;Manual;USD;10500;69421757;MATIAS HERRAMIENTAS;FALSO;Argentina;Bs.As. G.B.A. Oeste;Morón
MLA1656234122;Usado;2003;Peugeot;206;1.9;3;265510;Diesel;Delantera;Manual;ARS;2800000;680977467;MELINABEECHER;FALSO;Argentina;Bs.As. G.B.A. Sur;Quilmes
MLA1652567176;Usado;2003;Peugeot;206;1.6;5;210000;Nafta;Delantera;Manual;ARS;2000000;1136210544;ANTONIOADRIAN20220603172813;FALSO;Argentina;Buenos Aires Interior;Junín
MLA1649159804;Usado;2003;Peugeot;206;1.6;5;125000;Nafta;Delantera;Manual;ARS;4500000;140857706;FOLINOBRIAN;FALSO;Argentina;Bs.As. G.B.A. Norte;San Fernando
MLA1403564663;Usado;2004;Peugeot;206;1.9;5;155000;Diesel;Delantera;Manual;ARS;3900000;175163879;OSCARADRIANLUMBRERAS;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro
MLA1632913892;Usado;2004;Peugeot;206;1.6;3;165000;Nafta;Delantera;Manual;USD;4600;1144190400;MZ MOTORSOK;FALSO;Argentina;Capital Federal;Capital Federal
MLA1571038490;Usado;2004;Peugeot;206;1.9;3;288000;Diesel;Delantera;Manual;USD;4200;47599280;AUTOMOTORES EL22;FALSO;Argentina;Bs.As. G.B.A. Norte;Escobar
MLA1590759454;Usado;2004;Peugeot;206;1.6;3;58400;Nafta;Delantera;Manual;USD;5490;114688140;PHG. AUTOS;FALSO;Argentina;Capital Federal;Capital Federal
MLA1406739693;Usado;2004;Peugeot;206;1.6;3;140000;Nafta;Delantera;Manual;USD;5700;22356536;MATEO905;FALSO;Argentina;Bs.As. G.B.A. Sur;Quilmes
MLA1401942727;Usado;2004;Peugeot;206;1.6;3;130000;Nafta;Delantera;Manual;USD;5500;99533343;VANESSAQUERCIA;FALSO;Argentina;Capital Federal;Capital Federal
MLA1643161968;Usado;2004;Peugeot;206;1.9;3;169000;Diesel;Delantera;Manual;ARS;4700000;206786370;ANIG4354758;FALSO;Argentina;Bs.As. G.B.A. Sur;La Plata
MLA1402311841;Usado;2004;Peugeot;206;1.6;5;159000;Nafta;Delantera;Manual;USD;4500;65192996;RAULF654;FALSO;Argentina;Bs.As. G.B.A. Oeste;Moreno
MLA1647424592;Usado;2004;Peugeot;206;1.6;3;217000;Nafta;Delantera;Manual;USD;4200;97402226;TEMPERLEYANI;FALSO;Argentina;Bs.As. G.B.A. Sur;Esteban Echeverría
MLA1649770564;Usado;2004;Peugeot;206;1.9;5;144500;Diesel;Delantera;Manual;ARS;4500000;265085884;MIQUICORREA;FALSO;Argentina;Bs.As. G.B.A. Oeste;Morón
MLA1631913940;Usado;2004;Peugeot;206;1.9;5;139600;Diesel;Delantera;Manual;ARS;3600000;155124292;ESTUDIO EVERLAND;FALSO;Argentina;Capital Federal;Capital Federal
MLA1635336928;Usado;2005;Peugeot;206;1.9;5;221000;Nafta;Delantera;Manual;ARS;5324000;239208163;XANGO AUTOS;FALSO;Argentina;Bs.As. G.B.A. Norte;Vicente López
MLA1405764773;Usado;2005;Peugeot;206;1.6;3;118000;Nafta;Delantera;Manual;USD;5300;526399602;ISELLIBAUTISTA;FALSO;Argentina;Bs.As. G.B.A. Norte;San Miguel
MLA1644484008;Usado;2005;Peugeot;206;1.9;5;166000;Diesel;Delantera;Manual;USD;4200;121360385;AUTOMOTORES 828;FALSO;Argentina;Bs.As. G.B.A. Sur;Esteban Echeverría
MLA1616975246;Usado;2005;Peugeot;206;1.9;5;185000;Diesel;Delantera;Manual;USD;4200;307425234;MERLOCAR;FALSO;Argentina;Bs.As. G.B.A. Oeste;Merlo
MLA1649796934;Usado;2005;Peugeot;206;1.6;3;150000;Nafta;Delantera;Manual;USD;4200;59212843;ABS-CARS;FALSO;Argentina;Bs.As. G.B.A. Oeste;La Matanza
MLA1536303652;Usado;2005;Peugeot;206;1.6;5;165000;Nafta;Delantera;Manual;USD;4200;522508862;AUTOFENIX SEL;FALSO;Argentina;Bs.As. G.B.A. Oeste;Ituzaingó
MLA1637509270;Usado;2005;Peugeot;206;1.4;5;135000;Nafta;Delantera;Manual;ARS;3900000;724657393;FEBBRAIOSERGIO;FALSO;Argentina;Bs.As. G.B.A. Norte;Malvinas Argentinas
MLA1651060068;Usado;2005;Peugeot;206;1.6;5;153000;Nafta;Delantera;Manual;USD;6000;28876759;PALU_190;FALSO;Argentina;Capital Federal;Capital Federal
MLA1558035390;Usado;2005;Peugeot;206;1.6;3;136000;Nafta;Delantera;Manual;ARS;4000000;69521844;ALMARA AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín
MLA1590826144;Usado;2005;Peugeot;206;1.9;5;111111;Diesel;Delantera;Manual;ARS;3500000;212006392;ATY AUTOMOTORES;FALSO;Argentina;Bs.As. G.B.A. Norte;General San Martín
MLA1627422030;Usado;2005;Peugeot;206;1.9;5;83000;Diesel;Delantera;Manual;ARS;6499999;59240367;ALM-AUTOS;FALSO;Argentina;Buenos Aires Interior;Cañuelas
MLA1404254169;Usado;2005;Peugeot;206;1.6;5;220000;Nafta;Delantera;Automática;ARS;4300000;668361619;LOGU5737649;FALSO;Argentina;Capital Federal;Capital Federal
MLA1634938164;Usado;2005;Peugeot;206;1.9;5;287000;Diesel;Delantera;Manual;ARS;4500000;143705300;DIEGO GARDIOL;FALSO;Argentina;Bs.As. G.B.A. Norte;San Isidro
MLA1402862951;Usado;2005;Peugeot;206;1.9;5;164000;Diesel;Delantera;Manual;ARS;4800000;70035165;LEA_GAMER14;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda
MLA1402308957;Usado;2005;Peugeot;206;1.9;5;157000;Diesel;Delantera;Manual;USD;4100;221059377;PABLODAMIANDEVESA;FALSO;Argentina;Bs.As. G.B.A. Oeste;Ituzaingó
MLA1626476150;Usado;2005;Peugeot;206;1.6;3;143900;Nafta;Delantera;Manual;USD;4200;776526840;GOMESANESNAHUEL;FALSO;Argentina;Capital Federal;Capital Federal
MLA1632080416;Usado;2005;Peugeot;206;1.9;5;290000;Diesel;Delantera;Manual;ARS;3600000;149645850;ADRIANAMISZKIEWICZ;FALSO;Argentina;Bs.As. G.B.A. Sur;Avellaneda
